date_key,year,quarter,month,month_name,year_quarter,date
20241201,2024,Q4,12,Dec,2024 Q4,2024-12-01
20250101,2025,Q1,1,Jan,2025 Q1,2025-01-01
20250201,2025,Q1,2,Feb,2025 Q1,2025-02-01
20250301,2025,Q1,3,Mar,2025 Q1,2025-03-01
20250401,2025,Q2,4,Apr,2025 Q2,2025-04-01
20250501,2025,Q2,5,May,2025 Q2,2025-05-01
20250601,2025,Q2,6,Jun,2025 Q2,2025-06-01
20250701,2025,Q3,7,Jul,2025 Q3,2025-07-01
20250801,2025,Q3,8,Aug,2025 Q3,2025-08-01
20250901,2025,Q3,9,Sep,2025 Q3,2025-09-01
20251001,2025,Q4,10,Oct,2025 Q4,2025-10-01
20251101,2025,Q4,11,Nov,2025 Q4,2025-11-01
20251201,2025,Q4,12,Dec,2025 Q4,2025-12-01
20260101,2026,Q1,1,Jan,2026 Q1,2026-01-01
20260201,2026,Q1,2,Feb,2026 Q1,2026-02-01
20260301,2026,Q1,3,Mar,2026 Q1,2026-03-01
20260401,2026,Q2,4,Apr,2026 Q2,2026-04-01
20260501,2026,Q2,5,May,2026 Q2,2026-05-01
20260601,2026,Q2,6,Jun,2026 Q2,2026-06-01
20260701,2026,Q3,7,Jul,2026 Q3,2026-07-01
20260801,2026,Q3,8,Aug,2026 Q3,2026-08-01
20260901,2026,Q3,9,Sep,2026 Q3,2026-09-01
20261001,2026,Q4,10,Oct,2026 Q4,2026-10-01
20261101,2026,Q4,11,Nov,2026 Q4,2026-11-01
20261201,2026,Q4,12,Dec,2026 Q4,2026-12-01
20270101,2027,Q1,1,Jan,2027 Q1,2027-01-01
20270201,2027,Q1,2,Feb,2027 Q1,2027-02-01
20270301,2027,Q1,3,Mar,2027 Q1,2027-03-01
20270401,2027,Q2,4,Apr,2027 Q2,2027-04-01
20270501,2027,Q2,5,May,2027 Q2,2027-05-01
20270601,2027,Q2,6,Jun,2027 Q2,2027-06-01
20270701,2027,Q3,7,Jul,2027 Q3,2027-07-01
20270801,2027,Q3,8,Aug,2027 Q3,2027-08-01
20270901,2027,Q3,9,Sep,2027 Q3,2027-09-01
20271001,2027,Q4,10,Oct,2027 Q4,2027-10-01
20271101,2027,Q4,11,Nov,2027 Q4,2027-11-01
20271201,2027,Q4,12,Dec,2027 Q4,2027-12-01
20280101,2028,Q1,1,Jan,2028 Q1,2028-01-01
20280201,2028,Q1,2,Feb,2028 Q1,2028-02-01
20280301,2028,Q1,3,Mar,2028 Q1,2028-03-01
20280401,2028,Q2,4,Apr,2028 Q2,2028-04-01
20280501,2028,Q2,5,May,2028 Q2,2028-05-01
20280601,2028,Q2,6,Jun,2028 Q2,2028-06-01
20280701,2028,Q3,7,Jul,2028 Q3,2028-07-01
20280801,2028,Q3,8,Aug,2028 Q3,2028-08-01
20280901,2028,Q3,9,Sep,2028 Q3,2028-09-01
20281001,2028,Q4,10,Oct,2028 Q4,2028-10-01
20281101,2028,Q4,11,Nov,2028 Q4,2028-11-01
20281201,2028,Q4,12,Dec,2028 Q4,2028-12-01
20290101,2029,Q1,1,Jan,2029 Q1,2029-01-01
20290201,2029,Q1,2,Feb,2029 Q1,2029-02-01
20290301,2029,Q1,3,Mar,2029 Q1,2029-03-01
20290401,2029,Q2,4,Apr,2029 Q2,2029-04-01
20290501,2029,Q2,5,May,2029 Q2,2029-05-01
20290601,2029,Q2,6,Jun,2029 Q2,2029-06-01
20290701,2029,Q3,7,Jul,2029 Q3,2029-07-01
20290801,2029,Q3,8,Aug,2029 Q3,2029-08-01
20290901,2029,Q3,9,Sep,2029 Q3,2029-09-01
20291001,2029,Q4,10,Oct,2029 Q4,2029-10-01
20291101,2029,Q4,11,Nov,2029 Q4,2029-11-01
20291201,2029,Q4,12,Dec,2029 Q4,2029-12-01
20300101,2030,Q1,1,Jan,2030 Q1,2030-01-01
20300201,2030,Q1,2,Feb,2030 Q1,2030-02-01
20300301,2030,Q1,3,Mar,2030 Q1,2030-03-01
20300401,2030,Q2,4,Apr,2030 Q2,2030-04-01
20300501,2030,Q2,5,May,2030 Q2,2030-05-01
20300601,2030,Q2,6,Jun,2030 Q2,2030-06-01
20300701,2030,Q3,7,Jul,2030 Q3,2030-07-01
20300801,2030,Q3,8,Aug,2030 Q3,2030-08-01
20300901,2030,Q3,9,Sep,2030 Q3,2030-09-01
20301001,2030,Q4,10,Oct,2030 Q4,2030-10-01
20301101,2030,Q4,11,Nov,2030 Q4,2030-11-01
20301201,2030,Q4,12,Dec,2030 Q4,2030-12-01
20310101,2031,Q1,1,Jan,2031 Q1,2031-01-01
20310201,2031,Q1,2,Feb,2031 Q1,2031-02-01
20310301,2031,Q1,3,Mar,2031 Q1,2031-03-01
20310401,2031,Q2,4,Apr,2031 Q2,2031-04-01
20310501,2031,Q2,5,May,2031 Q2,2031-05-01
20310601,2031,Q2,6,Jun,2031 Q2,2031-06-01
20310701,2031,Q3,7,Jul,2031 Q3,2031-07-01
20310801,2031,Q3,8,Aug,2031 Q3,2031-08-01
20310901,2031,Q3,9,Sep,2031 Q3,2031-09-01
20311001,2031,Q4,10,Oct,2031 Q4,2031-10-01
20311101,2031,Q4,11,Nov,2031 Q4,2031-11-01
20311201,2031,Q4,12,Dec,2031 Q4,2031-12-01
20320101,2032,Q1,1,Jan,2032 Q1,2032-01-01
20320201,2032,Q1,2,Feb,2032 Q1,2032-02-01
20320301,2032,Q1,3,Mar,2032 Q1,2032-03-01
20320401,2032,Q2,4,Apr,2032 Q2,2032-04-01
20320501,2032,Q2,5,May,2032 Q2,2032-05-01
20320601,2032,Q2,6,Jun,2032 Q2,2032-06-01
20320701,2032,Q3,7,Jul,2032 Q3,2032-07-01
20320801,2032,Q3,8,Aug,2032 Q3,2032-08-01
20320901,2032,Q3,9,Sep,2032 Q3,2032-09-01
20321001,2032,Q4,10,Oct,2032 Q4,2032-10-01
20321101,2032,Q4,11,Nov,2032 Q4,2032-11-01
20321201,2032,Q4,12,Dec,2032 Q4,2032-12-01
20330101,2033,Q1,1,Jan,2033 Q1,2033-01-01
20330201,2033,Q1,2,Feb,2033 Q1,2033-02-01
20330301,2033,Q1,3,Mar,2033 Q1,2033-03-01
20330401,2033,Q2,4,Apr,2033 Q2,2033-04-01
20330501,2033,Q2,5,May,2033 Q2,2033-05-01
20330601,2033,Q2,6,Jun,2033 Q2,2033-06-01
20330701,2033,Q3,7,Jul,2033 Q3,2033-07-01
20330801,2033,Q3,8,Aug,2033 Q3,2033-08-01
20330901,2033,Q3,9,Sep,2033 Q3,2033-09-01
20331001,2033,Q4,10,Oct,2033 Q4,2033-10-01
20331101,2033,Q4,11,Nov,2033 Q4,2033-11-01
20331201,2033,Q4,12,Dec,2033 Q4,2033-12-01
20340101,2034,Q1,1,Jan,2034 Q1,2034-01-01
20340201,2034,Q1,2,Feb,2034 Q1,2034-02-01
20340301,2034,Q1,3,Mar,2034 Q1,2034-03-01
20340401,2034,Q2,4,Apr,2034 Q2,2034-04-01
20340501,2034,Q2,5,May,2034 Q2,2034-05-01
20340601,2034,Q2,6,Jun,2034 Q2,2034-06-01
20340701,2034,Q3,7,Jul,2034 Q3,2034-07-01
20340801,2034,Q3,8,Aug,2034 Q3,2034-08-01
20340901,2034,Q3,9,Sep,2034 Q3,2034-09-01
20341001,2034,Q4,10,Oct,2034 Q4,2034-10-01
20341101,2034,Q4,11,Nov,2034 Q4,2034-11-01
20341201,2034,Q4,12,Dec,2034 Q4,2034-12-01
20350101,2035,Q1,1,Jan,2035 Q1,2035-01-01
20350201,2035,Q1,2,Feb,2035 Q1,2035-02-01
20350301,2035,Q1,3,Mar,2035 Q1,2035-03-01
20350401,2035,Q2,4,Apr,2035 Q2,2035-04-01
20350501,2035,Q2,5,May,2035 Q2,2035-05-01
20350601,2035,Q2,6,Jun,2035 Q2,2035-06-01
20350701,2035,Q3,7,Jul,2035 Q3,2035-07-01
20350801,2035,Q3,8,Aug,2035 Q3,2035-08-01
20350901,2035,Q3,9,Sep,2035 Q3,2035-09-01
20351001,2035,Q4,10,Oct,2035 Q4,2035-10-01
20351101,2035,Q4,11,Nov,2035 Q4,2035-11-01
20351201,2035,Q4,12,Dec,2035 Q4,2035-12-01
